term,tfidf_score
journ,0.264179683549165
maintenance615,0.264179683549165
sonoco,0.264179683549165
freq,0.264179683549165
crafted,0.264179683549165
murfreesboro,0.264179683549165
yahoo,0.2407683390868428
news,0.21735699462452066
evening,0.18814133374328368
expertise,0.1762727188187475
nplease,0.17160663165505444
demonstrate,0.16750761645704945
send,0.1621635325565685
drive,0.16134962737663228
source,0.15755063505828742
shooting,0.14507533853338903
products,0.1352348059997415
trouble,0.13204942219453977
multi,0.13105106092210203
fabrication,0.12216437997218903
shop,0.12216437997218903
individual,0.11724717320890293
daily,0.11638660613268058
direct,0.11472858341245032
excellent,0.11145432747461405
resume,0.11108918412848576
who,0.11054876571046136
can,0.11019323157961206
repairing,0.1079692354691425
machine,0.10481035259159012
com,0.10304775630934747
hire,0.10083217985006356
shift,0.08687042040666133
plc,0.08660551371098543
industrial,0.07546795448638874
benefits,0.06686044029346765
equipment,0.05516839839572664
technician,0.04920748635272951
electrical,0.04753467247633121
in,0.03740568307281337
to,0.036257227941136436
maintenance,0.03539666086491407
and,0.03467069040476251
