term,tfidf_score
resolved,0.21989017996512641
courteously,0.21989017996512641
customers,0.21421880790891426
pursue,0.21292067706092876
treated,0.19824092656077175
and,0.19043586708238647
are,0.17883599271848072
include,0.17551711120221256
promptly,0.1729129237404572
supervisors,0.1712242275919654
rsome,0.1712242275919654
supervising,0.1680982938557364
hardee,0.16525694769685928
franchise,0.15126367033610255
maintained,0.1422784183419052
complaints,0.1422784183419052
energetic,0.141634410566661
paid,0.13994631859384277
meal,0.13977842279955122
rresponsibilities,0.1347926512782692
motivated,0.12833941253350992
served,0.12751743692333276
exciting,0.1267165399510573
needed,0.12264491402755028
off,0.11873565972385712
very,0.1166625492393591
flexible,0.11581453505282979
discounts,0.10975040772965977
available,0.10952159153758405
times,0.10689907810561039
few,0.10648262832890547
that,0.10378878859419952
scheduling,0.10371331049950125
time,0.10296517244268537
restaurant,0.10234078216031255
highly,0.10099566062319563
would,0.10030918748379535
ensuring,0.09881766041234336
shift,0.09849566508084168
to,0.0983886387941899
the,0.09733909663961907
health,0.09430502805845627
focused,0.094026157718998
staff,0.09347577747694813
like,0.09240328513654536
cleanliness,0.08775855560110628
paced,0.08675274620226953
satisfaction,0.08168774807888919
fast,0.07952040917597988
ensure,0.07849064764590485
customer,0.07660707509902288
rwe,0.07528442268158905
growing,0.07513243566378602
career,0.07386956304683301
individuals,0.0727961491399452
industry,0.06984489106520528
standards,0.06921133444298665
training,0.05726634325288297
benefits,0.05584450311351848
quality,0.054680894112694035
looking,0.05460222084559193
insurance,0.05218392842633756
at,0.04874445343399672
service,0.04759345549684573
all,0.046151899976047316
management,0.04301740331432934
is,0.03815632989610598
in,0.035961261601385845
of,0.03360802667753636
for,0.032523771461067
